employee_id,name,age,department,salary,city,experience_years,project_count,performance_score,product_purchased,purchase_amount,order_status,rating,bonus,tax_percent
50,Priya Kumar,38,Marketing,97565,Mumbai,9,13,1.93,Headphones,16910,Returned,4,6132,20.25
51,Anita Sharma,59,Finance,96580,Hyderabad,4,3,1.44,Phone,93167,Cancelled,2,10291,28.44
52,Vikas Sharma,38,HR,93998,Hyderabad,6,8,1.6,Headphones,49602,Pending,2,15113,5.12
53,Vikram Jadhav,53,Sales,57202,Chennai,14,5,4.97,Monitor,45534,Completed,3,16906,11.46
54,Vikram Patel,49,Operations,47171,Delhi,12,1,4.89,Keyboard,54622,Completed,2,6868,13.83
55,Pooja Jadhav,58,HR,98734,Hyderabad,16,8,2.48,Headphones,84609,Completed,2,15859,9.38
56,Rohit Joshi,53,Support,119601,Kolkata,14,10,3.97,Keyboard,86002,Completed,5,4573,22.05
57,Priya Jadhav,23,Finance,88220,Hyderabad,13,5,3.29,Camera,45163,Completed,5,4830,21.36
58,Amit Mehta,42,Sales,112009,Hyderabad,9,3,1.62,Camera,78142,Completed,2,10536,14.75
59,Priya Singh,26,Sales,93024,Pune,11,5,3.19,Phone,62131,Cancelled,5,4383,17.92
60,Neha Iyer,47,IT,44967,Kolkata,18,4,1.51,Mouse,99439,Completed,5,2052,5.07
61,Riya Jadhav,48,Operations,51752,Bangalore,3,1,1.35,Headphones,90759,Cancelled,4,1243,6.78
62,Karan Kumar,58,HR,97346,Hyderabad,7,2,2.91,Mouse,56035,Pending,4,10601,9.43
63,Neha Nair,49,Support,81456,Pune,20,15,2.44,Keyboard,12590,Returned,3,13686,22.47
64,Priya Patel,21,Marketing,102228,Kolkata,13,4,2.41,Monitor,54712,Completed,4,12816,8.3
65,Karan Joshi,23,Sales,85278,Hyderabad,1,6,2.64,Phone,84100,Completed,3,5635,6.2
66,Sneha Mehta,52,Finance,54979,Pune,12,7,3.44,Phone,39430,Cancelled,2,1103,28.34
67,Vikram Patel,33,Finance,63162,Kolkata,10,6,4.11,Tablet,85657,Pending,5,12563,21.63
68,Rohit Singh,39,Operations,78416,Bangalore,16,3,1.59,Phone,76971,Cancelled,4,5793,28.84
69,Riya Joshi,56,Operations,62197,Hyderabad,15,8,1.19,Mouse,86800,Cancelled,2,999,20.5
70,Karan Singh,50,Support,81663,Bangalore,10,4,4.0,Monitor,52500,Cancelled,3,14042,18.05
71,Anita Nair,25,IT,72768,Bangalore,1,7,2.95,Phone,67006,Cancelled,2,11066,27.42
72,Rahul Patel,46,HR,84139,Pune,5,9,2.89,Camera,11215,Cancelled,1,18451,5.78
73,Raj Nair,51,HR,51717,Kolkata,19,8,3.6,Camera,83065,Pending,5,11049,29.72
74,Karan Sharma,44,Finance,112310,Delhi,19,14,3.65,Phone,31568,Returned,2,18448,9.68
75,Karan Sharma,49,HR,75762,Chennai,3,12,4.92,Tablet,55688,Returned,3,16442,15.6
76,Pooja Iyer,29,IT,92231,Bangalore,11,10,4.42,Laptop,8065,Returned,5,1065,14.73
77,Anita Mehta,49,HR,77992,Delhi,11,7,1.57,Laptop,30770,Cancelled,1,16114,16.77
78,Neha Sharma,37,Support,103308,Delhi,3,11,4.77,Monitor,9430,Cancelled,4,15989,10.23
79,Rohit Mehta,53,IT,85585,Delhi,5,0,2.19,Keyboard,68327,Cancelled,5,7545,7.64
80,Raj Kumar,34,Operations,71450,Pune,10,7,4.43,Monitor,77270,Cancelled,1,10468,24.13
81,Karan Sharma,56,Marketing,62603,Hyderabad,7,8,3.94,Laptop,14738,Pending,2,13887,17.64
82,Arjun Jadhav,32,Marketing,48174,Mumbai,14,5,1.36,Headphones,1894,Pending,1,5799,22.63
83,Amit Sharma,28,Support,85978,Chennai,8,5,4.63,Monitor,49826,Cancelled,3,2714,13.34
84,Riya Iyer,47,Operations,97144,Delhi,5,8,2.19,Phone,95198,Completed,1,8514,14.89
85,Vikram Mehta,27,Operations,108406,Chennai,0,5,1.68,Camera,17263,Cancelled,3,3200,12.37
86,Riya Kumar,21,Finance,111095,Pune,8,7,3.79,Keyboard,13915,Returned,5,6775,17.82
87,Pooja Sharma,43,Operations,60273,Hyderabad,9,2,4.8,Tablet,35591,Pending,3,12094,10.63
88,Sneha Sharma,28,Sales,47970,Mumbai,15,12,1.34,Tablet,13365,Pending,1,3571,16.15
89,Amit Jadhav,54,IT,38366,Delhi,18,12,4.87,Tablet,94746,Completed,4,10791,20.71
90,Rahul Sharma,44,Sales,108665,Kolkata,12,9,2.72,Camera,29024,Returned,3,12870,25.0
91,Sneha Singh,42,Operations,101934,Bangalore,4,2,3.35,Keyboard,89921,Cancelled,3,9846,26.81
92,Rohit Jadhav,34,Operations,85417,Mumbai,8,8,2.68,Headphones,65835,Pending,2,1237,26.73
93,Anita Patel,46,Sales,57620,Mumbai,3,6,2.71,Camera,72873,Completed,5,11057,29.99
94,Pooja Patel,41,Support,106585,Chennai,1,8,4.77,Monitor,59681,Completed,2,18891,24.54
95,Arjun Joshi,55,Support,68971,Bangalore,4,6,4.53,Mouse,56260,Pending,2,994,29.78
96,Vikram Kumar,57,Support,41886,Hyderabad,5,2,2.4,Laptop,46266,Cancelled,4,4059,26.22
97,Rohit Mehta,29,HR,119139,Hyderabad,10,6,2.11,Camera,31153,Completed,1,14376,13.34
98,Amit Sharma,57,Operations,79921,Pune,10,4,1.36,Keyboard,33277,Cancelled,1,19480,12.79
99,Sneha Jadhav,21,Finance,109446,Hyderabad,19,2,2.55,Mouse,45528,Returned,1,6542,25.51
100,Amit Nair,29,Marketing,71753,Hyderabad,0,3,3.3,Camera,39461,Returned,2,10515,13.01
101,Raj Kumar,37,Finance,104898,Kolkata,13,2,2.69,Keyboard,86640,Completed,3,7557,24.23
102,Rahul Sharma,28,Operations,69922,Chennai,18,0,2.79,Tablet,10413,Pending,4,4558,5.12
103,Neha Kumar,59,HR,49530,Chennai,2,14,4.19,Keyboard,40406,Completed,1,5694,8.26
104,Rohit Sharma,51,Sales,89953,Pune,3,11,2.11,Tablet,68530,Returned,3,13453,20.31
105,Arjun Gupta,25,Finance,112223,Chennai,5,13,2.1,Monitor,1833,Cancelled,3,17852,20.97
106,Vikram Mehta,30,HR,110389,Chennai,14,13,1.52,Headphones,54208,Completed,5,3404,9.72
107,Sneha Patel,53,HR,110053,Hyderabad,8,8,2.41,Keyboard,30373,Returned,1,9358,10.39
108,Vikram Sharma,24,HR,72494,Delhi,0,15,1.07,Keyboard,39926,Returned,1,3309,27.54
109,Raj Gupta,40,Finance,83055,Kolkata,20,0,3.3,Headphones,22554,Cancelled,3,7102,9.83
110,Vikas Gupta,53,Finance,73223,Hyderabad,10,9,4.16,Phone,16322,Returned,2,817,20.52
111,Pooja Sharma,55,Support,71444,Pune,13,0,2.71,Laptop,83952,Cancelled,2,17516,10.92
112,Anita Kumar,53,Support,42012,Kolkata,8,14,1.99,Keyboard,24906,Pending,1,19561,19.24
113,Vikram Mehta,37,IT,70983,Kolkata,12,10,4.4,Monitor,86686,Returned,1,6773,11.64
114,Rohit Joshi,42,IT,57761,Delhi,13,6,3.18,Headphones,49399,Completed,2,17141,6.35
115,Karan Kumar,47,HR,91112,Delhi,15,5,1.7,Mouse,12107,Cancelled,1,19428,17.6
116,Anita Joshi,37,Support,78050,Kolkata,7,8,4.81,Laptop,7413,Cancelled,4,13751,20.16
117,Anita Mehta,55,HR,72335,Delhi,17,9,4.75,Keyboard,21745,Completed,3,6135,6.9
118,Amit Singh,21,Operations,86819,Delhi,13,11,3.14,Keyboard,56213,Pending,5,4196,22.46
119,Rohit Jadhav,52,Support,64853,Kolkata,18,12,2.25,Monitor,95699,Pending,1,2835,26.0
120,Vikram Iyer,36,HR,95814,Chennai,6,10,4.71,Laptop,67309,Pending,5,560,5.69
121,Priya Patel,48,Sales,75972,Kolkata,3,1,4.25,Headphones,48595,Completed,2,9820,18.41
122,Vikram Sharma,30,Operations,53685,Chennai,0,3,1.88,Laptop,11375,Cancelled,2,12000,12.45
123,Karan Mehta,46,IT,54976,Mumbai,6,4,1.98,Keyboard,17675,Pending,2,16485,8.18
124,Arjun Sharma,43,Support,83700,Mumbai,6,14,3.59,Mouse,45686,Pending,2,13575,20.72
125,Neha Mehta,55,IT,77221,Kolkata,2,10,3.69,Headphones,74530,Completed,3,15952,28.91
126,Vikas Nair,56,HR,51292,Delhi,12,7,4.0,Keyboard,14461,Cancelled,5,7326,11.47
127,Karan Patel,49,Finance,38519,Pune,13,10,4.35,Laptop,47702,Pending,3,17946,8.99
128,Arjun Iyer,51,Operations,61522,Mumbai,0,7,2.98,Laptop,53896,Completed,1,12299,18.84
129,Vikas Patel,49,HR,32896,Bangalore,11,14,4.65,Mouse,25874,Completed,4,2319,7.56
130,Vikram Kumar,44,IT,86589,Hyderabad,5,6,2.69,Phone,89596,Returned,3,2100,24.83
131,Anita Patel,48,Operations,48558,Delhi,6,6,3.44,Laptop,67926,Completed,2,2985,17.06
132,Vikas Kumar,33,Marketing,70853,Chennai,10,6,4.63,Laptop,18039,Completed,5,14725,11.77
133,Arjun Patel,39,HR,104021,Chennai,9,6,2.77,Laptop,18827,Returned,4,3362,28.55
134,Raj Patel,45,Operations,108845,Mumbai,9,12,1.2,Headphones,68321,Cancelled,4,7200,9.02
135,Rahul Iyer,21,Operations,97636,Bangalore,17,2,1.72,Laptop,46884,Pending,2,224,27.56
136,Raj Kumar,40,IT,75547,Bangalore,17,1,2.55,Laptop,38860,Completed,1,1349,6.54
137,Riya Jadhav,56,Operations,68635,Delhi,18,11,2.06,Mouse,93873,Returned,2,3107,12.55
138,Neha Iyer,37,Support,46436,Bangalore,7,2,2.64,Monitor,48051,Pending,2,17037,11.51
139,Vikram Patel,41,Finance,72046,Hyderabad,15,5,2.9,Phone,56759,Returned,2,12818,17.59
140,Amit Mehta,21,Sales,37122,Mumbai,2,10,4.54,Tablet,50445,Returned,2,1553,5.87
141,Priya Jadhav,37,Finance,35894,Mumbai,14,9,3.95,Laptop,4366,Cancelled,5,10215,14.01
142,Vikram Sharma,26,IT,71036,Delhi,3,15,3.45,Tablet,53108,Returned,2,11681,7.25
143,Anita Kumar,54,Operations,68064,Hyderabad,19,1,2.83,Mouse,88467,Returned,1,12439,15.72
144,Arjun Kumar,24,IT,113352,Bangalore,15,12,2.33,Headphones,51827,Cancelled,4,9693,25.18
145,Rohit Jadhav,60,Sales,99673,Chennai,16,0,2.53,Phone,2161,Cancelled,4,8545,9.96
146,Rohit Joshi,56,Finance,89818,Hyderabad,20,12,3.19,Phone,47273,Pending,1,18635,21.72
147,Riya Nair,46,Sales,59785,Pune,2,8,3.18,Phone,40288,Pending,2,49,6.17
148,Riya Gupta,60,Marketing,88878,Pune,13,0,1.53,Phone,32196,Completed,1,2365,8.1
149,Sneha Mehta,31,IT,98555,Hyderabad,7,7,1.33,Headphones,47317,Cancelled,1,4883,13.52
150,Vikas Kumar,33,Finance,34561,Hyderabad,19,3,1.04,Laptop,67012,Pending,2,15264,24.22
151,Arjun Singh,24,Finance,53132,Pune,14,15,2.37,Laptop,52008,Returned,4,12022,5.03
152,Vikas Patel,30,HR,39515,Chennai,3,14,1.94,Keyboard,44186,Pending,2,10817,9.97
153,Vikram Kumar,41,Operations,85309,Chennai,18,10,4.65,Phone,5437,Pending,2,6197,28.08
154,Rohit Jadhav,55,Support,78088,Bangalore,4,7,3.62,Camera,89269,Pending,3,6149,8.09
155,Neha Singh,31,Sales,69563,Bangalore,2,5,4.33,Phone,14637,Cancelled,3,9218,29.76
156,Anita Nair,54,Finance,39822,Kolkata,14,7,3.4,Monitor,60271,Completed,1,2708,28.97
157,Arjun Jadhav,21,HR,75788,Bangalore,8,12,4.15,Monitor,30423,Returned,5,6785,16.67
158,Pooja Kumar,41,IT,87707,Kolkata,15,13,1.95,Phone,90727,Returned,4,11436,19.5
159,Rahul Jadhav,30,Operations,94250,Mumbai,0,4,1.72,Camera,65710,Returned,5,14704,17.32
160,Rahul Singh,37,Sales,50698,Delhi,5,1,4.57,Mouse,79808,Cancelled,5,17299,24.32
161,Raj Mehta,40,IT,37355,Pune,18,5,1.5,Mouse,39868,Completed,1,8938,24.06
162,Anita Gupta,24,Sales,57242,Mumbai,1,1,1.37,Headphones,2611,Completed,1,6146,6.44
163,Rahul Patel,34,HR,87006,Delhi,14,6,3.55,Mouse,38569,Returned,2,12382,13.44
164,Rahul Sharma,23,Finance,71015,Chennai,9,10,2.03,Laptop,15108,Pending,2,19230,15.42
165,Sneha Jadhav,35,Support,85178,Kolkata,10,12,4.64,Keyboard,19404,Returned,1,15997,13.04
166,Riya Sharma,47,Sales,67319,Delhi,5,12,1.84,Tablet,73825,Pending,4,2066,24.71
167,Rahul Mehta,54,Support,73513,Bangalore,5,8,1.17,Keyboard,8529,Pending,4,10125,12.27
168,Rohit Jadhav,49,Operations,36612,Mumbai,1,14,4.66,Laptop,84937,Completed,3,19165,23.32
169,Vikas Joshi,21,Support,42284,Mumbai,0,4,2.5,Tablet,34734,Completed,1,17395,23.06
170,Karan Nair,55,Finance,42574,Delhi,9,8,1.43,Mouse,83841,Pending,2,7740,16.32
171,Karan Joshi,48,HR,106120,Pune,19,13,1.39,Camera,48333,Pending,1,13977,27.87
172,Riya Nair,48,Sales,102499,Mumbai,4,15,4.89,Camera,31041,Cancelled,2,13227,26.42
173,Vikas Mehta,40,Marketing,69819,Chennai,5,1,4.66,Laptop,80062,Cancelled,5,9061,9.86
174,Riya Gupta,35,Sales,90131,Bangalore,20,0,4.41,Phone,99706,Completed,5,11002,25.47
175,Anita Jadhav,25,Finance,93133,Delhi,1,1,4.01,Camera,12896,Pending,3,7609,11.24
176,Amit Sharma,27,HR,38771,Kolkata,16,6,3.07,Phone,92384,Completed,4,4725,27.98
177,Priya Mehta,46,HR,117869,Mumbai,0,1,2.01,Phone,12767,Returned,5,16891,9.35
178,Karan Nair,24,Support,90743,Bangalore,4,4,1.0,Mouse,8093,Pending,2,47,23.8
179,Raj Gupta,48,Marketing,63552,Delhi,19,9,1.83,Monitor,12022,Returned,3,9825,14.86
180,Pooja Iyer,50,HR,54103,Pune,10,10,1.93,Camera,27062,Cancelled,5,4832,5.44
181,Riya Jadhav,47,Sales,73347,Kolkata,17,2,3.63,Phone,84528,Completed,2,16907,5.5
182,Priya Iyer,58,Finance,98757,Mumbai,16,9,3.73,Phone,25929,Returned,1,19074,26.16
183,Pooja Nair,51,IT,33603,Mumbai,14,9,1.14,Keyboard,77402,Completed,4,2171,18.86
184,Vikram Singh,60,Finance,62660,Kolkata,6,0,1.5,Headphones,60704,Completed,2,18244,7.95
185,Raj Sharma,54,Support,53231,Bangalore,8,14,3.99,Tablet,17924,Pending,2,2229,18.47
186,Amit Kumar,44,Support,30759,Hyderabad,17,5,2.25,Mouse,81201,Completed,3,10932,27.38
187,Neha Jadhav,38,IT,58029,Chennai,11,11,1.98,Camera,77520,Pending,4,6026,13.45
188,Karan Mehta,55,Sales,88328,Pune,19,0,1.78,Laptop,43515,Completed,4,12991,28.71
189,Karan Patel,27,IT,31446,Delhi,5,8,4.95,Keyboard,9419,Pending,4,11732,16.43
190,Pooja Joshi,48,Operations,117329,Bangalore,12,9,3.91,Laptop,42607,Pending,4,6786,8.72
191,Vikas Kumar,48,Finance,96502,Kolkata,4,15,4.43,Keyboard,82435,Cancelled,3,14649,22.6
192,Arjun Patel,22,IT,110832,Hyderabad,17,9,1.66,Tablet,60714,Returned,1,5184,9.04
193,Sneha Mehta,52,Sales,119000,Pune,9,7,1.83,Monitor,15158,Completed,3,14022,19.32
194,Arjun Joshi,43,HR,47067,Delhi,1,12,3.69,Tablet,25853,Pending,1,5620,24.17
195,Amit Iyer,25,Sales,40420,Hyderabad,18,5,2.91,Phone,68618,Pending,3,9726,6.64
196,Priya Jadhav,27,HR,78183,Hyderabad,8,11,4.13,Keyboard,4043,Completed,1,12095,29.09
197,Karan Jadhav,38,HR,79277,Hyderabad,14,1,2.95,Phone,9686,Completed,2,12889,18.53
198,Sneha Mehta,51,HR,61848,Kolkata,12,12,3.01,Tablet,87747,Completed,4,16357,10.93
199,Neha Joshi,27,Marketing,97373,Pune,9,5,1.56,Camera,23246,Pending,5,11997,25.18
200,Vikas Iyer,23,Support,104714,Delhi,5,14,1.95,Tablet,16542,Cancelled,5,18677,6.3
201,Riya Singh,38,Marketing,77687,Kolkata,10,3,4.94,Laptop,64625,Cancelled,2,613,7.48
202,Pooja Nair,39,Finance,106225,Mumbai,10,9,2.92,Camera,59284,Cancelled,5,15372,27.38
203,Neha Iyer,57,Sales,65842,Hyderabad,19,2,2.68,Keyboard,7312,Returned,5,3336,9.28
204,Pooja Mehta,54,Operations,87056,Delhi,6,1,2.57,Headphones,14061,Pending,1,378,8.22
205,Rahul Joshi,25,IT,111387,Delhi,4,13,4.81,Phone,13275,Pending,1,161,19.1
206,Anita Mehta,26,HR,36404,Hyderabad,15,10,2.37,Monitor,29965,Cancelled,2,4838,25.26
207,Sneha Gupta,53,Support,49027,Kolkata,16,13,3.51,Phone,12041,Completed,2,15826,25.25
208,Rahul Mehta,30,Sales,109921,Chennai,6,0,1.64,Camera,5481,Returned,4,16092,12.48
209,Neha Iyer,24,Marketing,103800,Delhi,4,14,4.55,Tablet,63868,Returned,5,2957,9.7
210,Riya Gupta,45,Sales,96519,Bangalore,14,4,4.42,Laptop,71574,Cancelled,4,17802,15.83
211,Rohit Kumar,46,Finance,31826,Bangalore,2,12,1.39,Tablet,66925,Completed,1,2108,19.84
212,Pooja Gupta,50,IT,82316,Kolkata,14,10,3.22,Camera,91207,Pending,1,3568,14.08
213,Vikram Gupta,54,Finance,96451,Pune,3,2,4.23,Keyboard,36317,Pending,1,13767,23.12
214,Anita Nair,34,Support,84744,Chennai,9,2,2.23,Phone,23834,Pending,5,10391,9.27
215,Neha Mehta,55,IT,89469,Chennai,6,7,4.04,Headphones,40513,Pending,1,19307,18.68
216,Neha Patel,59,Marketing,70860,Mumbai,1,5,1.77,Phone,15497,Completed,5,9489,8.05
217,Vikas Joshi,48,Support,40032,Kolkata,8,2,4.09,Phone,25686,Pending,4,12466,19.02
218,Amit Nair,29,Sales,60536,Mumbai,7,2,2.82,Laptop,61753,Returned,3,926,21.06
219,Karan Iyer,54,IT,110690,Mumbai,6,1,1.05,Mouse,85976,Cancelled,4,4440,10.81
220,Pooja Kumar,51,Marketing,87575,Pune,19,11,2.88,Headphones,40599,Cancelled,1,8007,29.18
221,Neha Mehta,59,IT,48883,Hyderabad,7,9,3.84,Monitor,63403,Cancelled,3,7367,15.36
222,Raj Singh,57,IT,34344,Mumbai,5,11,1.82,Monitor,94521,Cancelled,2,6714,23.24
223,Neha Singh,37,HR,56658,Pune,18,3,4.69,Tablet,82526,Cancelled,5,7675,6.02
224,Vikas Patel,52,Finance,71103,Hyderabad,1,1,3.96,Headphones,6459,Pending,2,19446,24.35
225,Rohit Sharma,34,Support,32469,Pune,3,10,3.07,Laptop,76506,Returned,4,17390,15.61
226,Vikas Mehta,36,Marketing,79310,Delhi,11,2,4.39,Headphones,95853,Completed,5,10949,23.65
227,Karan Gupta,32,Finance,87179,Kolkata,10,12,2.44,Laptop,54761,Returned,1,5519,11.7
228,Arjun Jadhav,35,Operations,38593,Chennai,12,9,1.65,Headphones,30816,Completed,5,18402,19.02
229,Vikas Patel,58,HR,118075,Pune,13,2,4.42,Camera,42256,Completed,5,18458,24.78
230,Pooja Jadhav,57,HR,41550,Mumbai,14,7,4.78,Headphones,37902,Returned,2,16120,16.03
231,Anita Gupta,40,Finance,113003,Mumbai,10,14,1.68,Camera,13763,Returned,4,9510,28.64
232,Vikas Joshi,22,HR,35632,Bangalore,6,8,3.7,Monitor,84856,Returned,3,14612,26.71
233,Karan Sharma,51,HR,101547,Bangalore,5,14,3.31,Keyboard,71160,Pending,3,18584,13.23
234,Anita Gupta,26,IT,102176,Pune,1,10,1.53,Headphones,26876,Pending,1,6101,16.06
235,Neha Mehta,21,HR,95083,Hyderabad,13,9,1.36,Mouse,54389,Cancelled,3,19834,9.9
236,Raj Iyer,48,Support,54256,Chennai,20,9,4.58,Phone,42603,Cancelled,5,13110,21.21
237,Anita Singh,50,Marketing,119979,Mumbai,17,8,3.9,Headphones,86604,Completed,5,10726,6.63
238,Amit Joshi,26,Finance,102250,Kolkata,3,5,1.91,Monitor,25129,Completed,2,3476,20.03
239,Amit Patel,29,Marketing,62125,Bangalore,12,6,1.41,Camera,46871,Returned,5,16115,21.97
240,Anita Kumar,45,IT,87189,Kolkata,0,9,3.71,Keyboard,80278,Returned,4,19711,18.87
241,Vikram Nair,26,IT,56821,Chennai,19,0,2.16,Phone,59342,Pending,1,19900,14.04
242,Vikas Sharma,54,Finance,96739,Delhi,10,7,2.68,Tablet,78321,Cancelled,2,17339,13.21
243,Anita Patel,22,Sales,38978,Hyderabad,7,12,3.11,Phone,22367,Completed,2,13446,10.61
244,Riya Jadhav,59,Support,61245,Pune,12,8,3.8,Headphones,24461,Completed,2,17604,10.59
245,Riya Singh,25,IT,39133,Kolkata,1,0,2.91,Laptop,97950,Pending,4,12464,18.01
246,Vikram Jadhav,35,IT,46868,Delhi,20,12,2.06,Keyboard,93082,Cancelled,3,1750,28.96
247,Karan Joshi,35,Operations,77538,Hyderabad,3,5,4.06,Laptop,5963,Returned,3,1062,7.88
248,Anita Sharma,33,Operations,44578,Chennai,4,10,3.11,Tablet,39881,Returned,4,19261,5.89
249,Priya Patel,44,IT,90359,Pune,16,0,1.85,Laptop,51014,Cancelled,4,17706,21.55
250,Neha Sharma,24,HR,83451,Bangalore,1,9,3.84,Headphones,55906,Cancelled,2,11714,7.39
251,Raj Patel,50,IT,107000,Chennai,13,1,2.91,Phone,43426,Cancelled,2,19214,10.21
252,Vikram Gupta,35,Support,115383,Mumbai,7,5,1.8,Mouse,79543,Pending,2,3169,21.78
253,Amit Mehta,49,Marketing,119810,Hyderabad,5,5,1.03,Monitor,10882,Pending,3,11289,20.56
254,Neha Kumar,40,HR,68995,Hyderabad,18,11,3.87,Tablet,79093,Returned,2,4328,14.42
255,Karan Sharma,23,Support,85274,Kolkata,14,12,3.31,Camera,21108,Completed,3,7156,11.14
256,Sneha Mehta,21,Marketing,30738,Kolkata,5,1,3.86,Tablet,51379,Pending,1,16163,10.79
257,Priya Kumar,50,HR,73117,Delhi,9,1,2.95,Camera,90213,Completed,5,7299,5.96
